deepjet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0, 0.01, 0.9184736294461155
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.01, 0.03, -1234.6745811331923*(x-0.01)*(x-0.01)*(x-0.01)-29.93816873511319*(x-0.01)*(x-0.01)+6.675774018608505*(x-0.01)+0.9184736294461155
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.03, 0.05642114408230491, -2745.8736531498807*(x-0.03)*(x-0.03)*(x-0.03)+36.609682860091816*(x-0.03)*(x-0.03)+3.996637771844147*(x-0.03)+1.0301364456751747
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.05642114408230491, 0.11078409962026281, 52.89004590771592*(x-0.05642114408230491)*(x-0.05642114408230491)*(x-0.05642114408230491)-4.678416288306046*(x-0.05642114408230491)*(x-0.05642114408230491)+0.18068465424487093*(x-0.05642114408230491)+1.1106436964658915
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.11078409962026281, 0.22256284930688155, -93.39623869139363*(x-0.11078409962026281)*(x-0.11078409962026281)*(x-0.11078409962026281)+20.506219130830228*(x-0.11078409962026281)*(x-0.11078409962026281)+0.14094234735207545*(x-0.11078409962026281)+1.1151373224091985
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.22256284930688155, 0.4612147867736584, -0.2224698192900837*(x-0.22256284930688155)*(x-0.22256284930688155)*(x-0.22256284930688155)-0.15366944737700905*(x-0.22256284930688155)*(x-0.22256284930688155)+1.224446620128455*(x-0.22256284930688155)+1.256667508381741
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.4612147867736584, 1.1, 1.5371079720170027
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, -15, 0, 0.941068938677161
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0, 0.01, 0.941068938677161
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.01, 0.035124098552257926, -1457.5810170813254*(x-0.01)*(x-0.01)*(x-0.01)+5.695266728607033*(x-0.01)*(x-0.01)+4.000496863108009*(x-0.01)+0.941068938677161
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.035124098552257926, 0.08439627526466012, 198.84163972298876*(x-0.035124098552257926)*(x-0.035124098552257926)*(x-0.035124098552257926)-22.049595917469645*(x-0.035124098552257926)*(x-0.035124098552257926)+1.5265094449059333*(x-0.035124098552257926)+1.0220572375975139
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.08439627526466012, 0.1670845202033298, -85.75700420095774*(x-0.08439627526466012)*(x-0.08439627526466012)*(x-0.08439627526466012)+5.787961753451906*(x-0.08439627526466012)*(x-0.08439627526466012)+0.8018580922822877*(x-0.08439627526466012)+1.0675263478479164
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.1670845202033298, 0.30736336881746995, 0.8421431102047151*(x-0.1670845202033298)*(x-0.1670845202033298)*(x-0.1670845202033298)-0.6441570275179811*(x-0.1670845202033298)*(x-0.1670845202033298)+0.0*(x-0.1670845202033298)+1.1249206055020204
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.30736336881746995, 0.5255913819696927, 8.602164672424752*(x-0.30736336881746995)*(x-0.30736336881746995)*(x-0.30736336881746995)-7.082715019064575*(x-0.30736336881746995)*(x-0.30736336881746995)-0.13100774339847576*(x-0.30736336881746995)+1.1145694596777902
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.5255913819696927, 1.1, 0.8380768201527421
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, -15, 0, 0.9047713471882568
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0, 0.01, 0.9047713471882568
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.01, 0.03, -2318.7466838501286*(x-0.01)*(x-0.01)*(x-0.01)-100.56463538520137*(x-0.01)*(x-0.01)+15.189180750559641*(x-0.01)+0.9047713471882568
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.03, 0.05, -10903.78474780843*(x-0.03)*(x-0.03)*(x-0.03)+117.51105957096709*(x-0.03)*(x-0.03)+8.384099314531436*(x-0.03)+1.149779134574568
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.05, 0.07, 1398.544171311674*(x-0.05)*(x-0.05)*(x-0.05)-41.956325139350234*(x-0.05)*(x-0.05)+0.0*(x-0.05)+1.2772352667111162
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.07, 0.10448856640316709, -3133.894284956332*(x-0.07)*(x-0.07)*(x-0.07)+196.5278442980915*(x-0.07)*(x-0.07)+0.0*(x-0.07)+1.2716410900258694
