deepjet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.9698333494404935, 1.1, 0.8483694660277304
3, iterativefit, central, 0, 0, 2.5, 30, 50, -15, 0, 1.1074740594745736
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0, 0.061865063029529856, 1.1074740594745736
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.061865063029529856, 0.21895309645238542, -3.2273833181156424*(x-0.061865063029529856)*(x-0.061865063029529856)*(x-0.061865063029529856)+3.6443597295210477*(x-0.061865063029529856)*(x-0.061865063029529856)-0.9060475779520507*(x-0.061865063029529856)+1.1074740594745736
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.21895309645238542, 0.29997654586379935, -101.70670933189203*(x-0.21895309645238542)*(x-0.21895309645238542)*(x-0.21895309645238542)+12.360942627530902*(x-0.21895309645238542)*(x-0.21895309645238542)+0.0*(x-0.21895309645238542)+1.0425647681395926
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.29997654586379935, 0.3795347534713122, 5.809266553797416*(x-0.29997654586379935)*(x-0.29997654586379935)*(x-0.29997654586379935)-1.5838727829124422*(x-0.29997654586379935)*(x-0.29997654586379935)+0.0*(x-0.29997654586379935)+1.0696138042004335
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.3795347534713122, 0.47045202197337577, 55.545813292786896*(x-0.3795347534713122)*(x-0.3795347534713122)*(x-0.3795347534713122)-7.536548183542372*(x-0.3795347534713122)*(x-0.3795347534713122)-0.1417107550631084*(x-0.3795347534713122)+1.0625140076164692
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.47045202197337577, 0.5700374878350147, 2.707571719676756*(x-0.47045202197337577)*(x-0.47045202197337577)*(x-0.47045202197337577)+0.26482526131353*(x-0.47045202197337577)*(x-0.47045202197337577)-0.13469880647648796*(x-0.47045202197337577)+1.0290769791574592
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.5700374878350147, 0.6710701610992987, -0.13655531943897972*(x-0.5700374878350147)*(x-0.5700374878350147)*(x-0.5700374878350147)+0.02067281136927178*(x-0.5700374878350147)*(x-0.5700374878350147)-0.0013981935968189422*(x-0.5700374878350147)+1.0209633177405866
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.6710701610992987, 0.7725355266598322, 40.879173415414535*(x-0.6710701610992987)*(x-0.6710701610992987)*(x-0.6710701610992987)-7.085609179846435*(x-0.6710701610992987)*(x-0.6710701610992987)-0.001402641476967212*(x-0.6710701610992987)+1.0208922446471482
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.7725355266598322, 0.8749489199923082, -11.69645831178723*(x-0.7725355266598322)*(x-0.7725355266598322)*(x-0.7725355266598322)+1.7006689911084638*(x-0.7725355266598322)*(x-0.7725355266598322)-0.17671019151490758*(x-0.7725355266598322)+0.9905047408222888
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.8749489199923082, 0.9794072312545159, 8.627015735591817*(x-0.8749489199923082)*(x-0.8749489199923082)*(x-0.8749489199923082)-3.416563258059816*(x-0.8749489199923082)*(x-0.8749489199923082)-0.19640264586060127*(x-0.8749489199923082)+0.9776808174629266
